Catharanthus	Catharanthus_roseus	NZ_CP035949.1
Deinococcus	Deinococcus_soli	NZ_CP011389.1
Nostoc	Nostoc_azollae	NC_014248.1
18,711,729_reads	18,711,729_reads	NZ_CP033612.1
Acaryochloris	Acaryochloris_marina	NC_009925.1
Acetobacter	Acetobacter_aceti	NZ_CP014692.1
Acetobacter	Acetobacter_orientalis	NZ_AP018515.1
Acetobacter	Acetobacter_oryzoeni	NZ_CP042808.1
Acetobacter	Acetobacter_pasteurianus	NC_021991.1
Acetobacter	Acetobacter_pasteurianus	NC_013209.1
Acetobacter	Acetobacter_pasteurianus	NC_017150.1
Acetobacter	Acetobacter_pasteurianus	NC_017100.1
Acetobacter	Acetobacter_pasteurianus	NC_017121.1
Acetobacter	Acetobacter_pasteurianus	NC_017108.1
Acetobacter	Acetobacter_pasteurianus	NC_017125.1
Acetobacter	Acetobacter_pasteurianus	NC_017146.1
Acetobacter	Acetobacter_pasteurianus	NC_017111.1
Acetobacter	Acetobacter_pasteurianus	NZ_AP014881.1
Acetobacter	Acetobacter_pasteurianus	NZ_CP012111.1
Acetobacter	Acetobacter_pasteurianus	NZ_CP039846.1
Acetobacter	Acetobacter_pasteurianus	NZ_CP022374.1
Acetobacter	Acetobacter_pasteurianus	NZ_CP015164.1
Acetobacter	Acetobacter_pasteurianus	NZ_CP021524.1
Acetobacter	Acetobacter_pasteurianus	NZ_CP015168.1
Acetobacter	Acetobacter_pasteurianus	NZ_CP021509.1
Acetobacter	Acetobacter_pasteurianus	NZ_CP021922.1
Acetobacter	Acetobacter_persici	NZ_CP014687.1
Acetobacter	Acetobacter_pomorum	NZ_CP023657.1
Acetobacter	Acetobacter_pomorum	NZ_CP023189.1
Acetobacter	Acetobacter_sp.JWB	NZ_CP030871.1
Acetobacter	Acetobacter_sp.KACC	NZ_CP043506.1
Acetobacter	Acetobacter_sp.SLV-7	NZ_CP011120.1
Acetobacter	Acetobacter_tropicalis	NZ_CP022699.1
Acetobacteraceae	Acetobacteraceae_bacterium	NZ_CP039460.1
Acetobacteraceae	Acetobacteraceae_bacterium	NZ_CP039459.1
Acetobacterium	Acetobacterium_woodii	NC_016894.1
Acetohalobium	Acetohalobium_arabaticum	NC_014378.1
Acholeplasma	Acholeplasma_axanthum	NZ_LR215048.1
Acholeplasma	Acholeplasma_hippikon	NZ_LR215050.1
Acholeplasma	Acholeplasma_laidlawii	NC_010163.1
Acholeplasma	Acholeplasma_laidlawii	NZ_LS483439.1
Achromobacter	Achromobacter_denitrificans	NZ_CP033730.1
Achromobacter	Achromobacter_denitrificans	NZ_CP020917.1
Achromobacter	Achromobacter_denitrificans	NZ_CP013923.1
Achromobacter	Achromobacter_insolitus	NZ_CP019325.1
Achromobacter	Achromobacter_insolitus	NZ_CP026973.1
Achromobacter	Achromobacter_insolitus	NZ_CP038034.1
Achromobacter	Achromobacter_insolitus	NZ_LR134361.1
Achromobacter	Achromobacter_sp.AONIH1	NZ_CP026124.1
Achromobacter	Achromobacter_sp.B7	NZ_CP032084.1
Achromobacter	Achromobacter_spanius	NZ_CP025030.1
Achromobacter	Achromobacter_spanius	NZ_CP023270.1
Achromobacter	Achromobacter_spanius	NZ_LR134302.1
Achromobacter	Achromobacter_spanius	NZ_CP034689.1
Achromobacter	Achromobacter_xylosoxidans	NC_014640.1
Achromobacter	Achromobacter_xylosoxidans	NZ_CP009448.1
Achromobacter	Achromobacter_xylosoxidans	NZ_LN831029.1
Achromobacter	Achromobacter_xylosoxidans	NZ_LN890335.1
Achromobacter	Achromobacter_xylosoxidans	NZ_LN890476.1
Achromobacter	Achromobacter_xylosoxidans	NZ_LN890477.1
